,vid_name,frame,x,y,w,h,gender,age,smile,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
176,sotu,41000,51,453,41,41,male,30.0,0.0,0.001,0.0,0.0,0.0,0.0,0.998,0.001,0.0
177,sotu,41000,348,534,40,40,female,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
178,sotu,41000,702,471,40,40,female,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,0.003,0.0
179,sotu,41000,666,277,39,39,male,26.0,0.258,0.013,0.005,0.001,0.0,0.258,0.723,0.001,0.0
180,sotu,41000,178,460,39,39,male,45.0,0.0,0.004,0.001,0.0,0.0,0.0,0.996,0.0,0.0
181,sotu,41000,662,73,37,37,male,32.0,0.0,0.013,0.001,0.0,0.0,0.0,0.984,0.001,0.0
182,sotu,41000,1098,315,36,36,male,22.0,0.061,0.0,0.0,0.0,0.0,0.061,0.938,0.0,0.0
183,sotu,42000,550,116,147,147,male,60.0,0.001,0.033,0.001,0.006,0.0,0.001,0.942,0.014,0.002
184,sotu,42000,234,222,120,120,male,58.0,0.007,0.0,0.003,0.0,0.0,0.007,0.988,0.002,0.0
185,sotu,42000,905,261,116,116,female,57.0,0.029,0.0,0.009,0.0,0.0,0.029,0.951,0.01,0.0
186,sotu,43000,655,237,106,106,female,33.0,0.677,0.0,0.001,0.0,0.0,0.677,0.321,0.001,0.0
187,sotu,43000,120,95,96,96,female,33.0,0.025,0.001,0.001,0.001,0.0,0.025,0.962,0.006,0.004
188,sotu,43000,399,209,95,95,female,27.0,0.004,0.001,0.0,0.0,0.0,0.004,0.976,0.018,0.001
189,sotu,44000,517,204,174,174,male,32.0,0.093,0.0,0.002,0.0,0.0,0.093,0.902,0.001,0.002
190,sotu,44000,732,182,158,158,male,49.0,0.006,0.0,0.0,0.0,0.0,0.006,0.969,0.024,0.0
191,sotu,44000,228,164,158,158,female,63.0,0.003,0.0,0.008,0.0,0.0,0.003,0.761,0.228,0.0
192,sotu,45000,485,223,266,266,male,49.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
193,sotu,46000,545,146,143,143,male,62.0,0.0,0.001,0.001,0.001,0.001,0.0,0.828,0.019,0.148
194,sotu,46000,191,235,119,119,male,58.0,0.0,0.003,0.008,0.0,0.0,0.0,0.955,0.034,0.0
195,sotu,46000,901,261,114,114,female,56.0,0.023,0.0,0.025,0.0,0.0,0.023,0.945,0.005,0.001
196,sotu,48000,525,101,144,144,male,68.0,0.002,0.002,0.018,0.007,0.008,0.002,0.755,0.034,0.174
197,sotu,48000,176,219,122,122,male,59.0,0.0,0.003,0.002,0.0,0.0,0.0,0.992,0.002,0.0
198,sotu,48000,875,262,111,111,female,55.0,0.186,0.0,0.002,0.0,0.0,0.186,0.802,0.011,0.0
199,sotu,49000,68,284,190,190,male,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.891,0.109,0.0
200,sotu,49000,663,177,182,182,male,61.0,0.0,0.001,0.0,0.0,0.0,0.0,0.998,0.001,0.0
201,sotu,49000,130,59,180,180,male,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.923,0.076,0.0
202,sotu,50000,521,113,139,139,male,52.0,0.003,0.068,0.001,0.009,0.006,0.003,0.634,0.24,0.039
203,sotu,50000,193,220,121,121,male,59.0,0.0,0.001,0.002,0.0,0.0,0.0,0.996,0.001,0.0
204,sotu,50000,918,260,118,118,female,57.0,0.0,0.0,0.001,0.0,0.0,0.0,0.996,0.003,0.0
205,sotu,51000,531,105,133,133,male,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.974,0.026,0.0
206,sotu,51000,203,228,128,128,male,58.0,0.0,0.007,0.001,0.0,0.0,0.0,0.991,0.0,0.0
207,sotu,51000,918,267,123,123,female,54.0,0.005,0.002,0.054,0.007,0.006,0.005,0.566,0.352,0.009
208,sotu,52000,556,118,146,146,male,64.0,0.001,0.038,0.01,0.007,0.0,0.001,0.942,0.003,0.0
